Agent,Trial,Step,Reward,Cumulative Reward,Steps to Converge
QLearningAgent,1,0,-0.1,-0.1,
QLearningAgent,1,1,-0.1,-0.2,
QLearningAgent,1,2,-0.1,-0.30000000000000004,
QLearningAgent,1,3,-0.1,-0.4,
QLearningAgent,1,4,-0.1,-0.5,
QLearningAgent,1,5,-0.1,-0.6,
QLearningAgent,1,6,-0.1,-0.7,
QLearningAgent,1,7,-0.1,-0.7999999999999999,
QLearningAgent,1,8,-0.1,-0.8999999999999999,
QLearningAgent,1,9,-0.1,-0.9999999999999999,
QLearningAgent,1,10,-0.1,-1.0999999999999999,
QLearningAgent,1,11,-0.1,-1.2,
QLearningAgent,1,12,-0.1,-1.3,
QLearningAgent,1,13,-0.1,-1.4000000000000001,
QLearningAgent,1,14,-0.1,-1.5000000000000002,
QLearningAgent,1,15,-0.1,-1.6000000000000003,
QLearningAgent,1,16,-0.1,-1.7000000000000004,
QLearningAgent,1,17,-0.1,-1.8000000000000005,
QLearningAgent,1,18,-0.1,-1.9000000000000006,
QLearningAgent,1,19,-0.1,-2.0000000000000004,
QLearningAgent,1,20,-0.1,-2.1000000000000005,
QLearningAgent,1,21,-0.1,-2.2000000000000006,
QLearningAgent,1,22,-0.1,-2.3000000000000007,
QLearningAgent,1,23,-0.1,-2.400000000000001,
QLearningAgent,1,24,-0.1,-2.500000000000001,
QLearningAgent,1,25,-0.1,-2.600000000000001,
QLearningAgent,1,26,-0.1,-2.700000000000001,
QLearningAgent,1,27,-0.1,-2.800000000000001,
QLearningAgent,1,28,-0.1,-2.9000000000000012,
QLearningAgent,1,29,-0.1,-3.0000000000000013,
QLearningAgent,1,30,-0.1,-3.1000000000000014,
QLearningAgent,1,31,-0.1,-3.2000000000000015,
QLearningAgent,1,32,-0.1,-3.3000000000000016,
QLearningAgent,1,33,-0.1,-3.4000000000000017,
QLearningAgent,1,34,-0.1,-3.5000000000000018,
QLearningAgent,1,35,-0.1,-3.600000000000002,
QLearningAgent,1,36,-0.1,-3.700000000000002,
QLearningAgent,1,37,-0.1,-3.800000000000002,
QLearningAgent,1,38,-0.1,-3.900000000000002,
QLearningAgent,1,39,-0.1,-4.000000000000002,
QLearningAgent,1,40,-0.1,-4.100000000000001,
QLearningAgent,1,41,-0.1,-4.200000000000001,
QLearningAgent,1,42,-0.1,-4.300000000000001,
QLearningAgent,1,43,-0.1,-4.4,
QLearningAgent,1,44,-0.1,-4.5,
QLearningAgent,1,45,-0.1,-4.6,
QLearningAgent,1,46,-0.1,-4.699999999999999,
QLearningAgent,1,47,-0.1,-4.799999999999999,
QLearningAgent,1,48,-0.1,-4.899999999999999,
QLearningAgent,1,49,-0.1,-4.999999999999998,
QLearningAgent,1,50,-0.1,-5.099999999999998,
QLearningAgent,1,51,-0.1,-5.1999999999999975,
QLearningAgent,1,52,-0.1,-5.299999999999997,
QLearningAgent,1,53,-0.1,-5.399999999999997,
QLearningAgent,1,54,-0.1,-5.4999999999999964,
QLearningAgent,1,55,-0.1,-5.599999999999996,
QLearningAgent,1,56,-0.1,-5.699999999999996,
QLearningAgent,1,57,-0.1,-5.799999999999995,
QLearningAgent,1,58,-0.1,-5.899999999999995,
QLearningAgent,1,59,-0.1,-5.999999999999995,
QLearningAgent,1,60,-0.1,-6.099999999999994,
QLearningAgent,1,61,-0.1,-6.199999999999994,
QLearningAgent,1,62,-0.1,-6.299999999999994,
QLearningAgent,1,63,-0.1,-6.399999999999993,
QLearningAgent,1,64,-0.1,-6.499999999999993,
QLearningAgent,1,65,-0.1,-6.5999999999999925,
QLearningAgent,1,66,-0.1,-6.699999999999992,
QLearningAgent,1,67,-0.1,-6.799999999999992,
QLearningAgent,1,68,-0.1,-6.8999999999999915,
QLearningAgent,1,69,-0.1,-6.999999999999991,
QLearningAgent,1,70,-0.1,-7.099999999999991,
QLearningAgent,1,71,-0.1,-7.19999999999999,
QLearningAgent,1,72,-0.1,-7.29999999999999,
QLearningAgent,1,73,-0.1,-7.39999999999999,
QLearningAgent,1,74,-0.1,-7.499999999999989,
QLearningAgent,1,75,-0.1,-7.599999999999989,
QLearningAgent,1,76,-0.1,-7.699999999999989,
QLearningAgent,1,77,-0.1,-7.799999999999988,
QLearningAgent,1,78,-0.1,-7.899999999999988,
QLearningAgent,1,79,-0.1,-7.999999999999988,
QLearningAgent,1,80,-0.1,-8.099999999999987,
QLearningAgent,1,81,-0.1,-8.199999999999987,
QLearningAgent,1,82,-0.1,-8.299999999999986,
QLearningAgent,1,83,-0.1,-8.399999999999986,
QLearningAgent,1,84,-0.1,-8.499999999999986,
QLearningAgent,1,85,-0.1,-8.599999999999985,
QLearningAgent,1,86,-0.1,-8.699999999999985,
QLearningAgent,1,87,-0.1,-8.799999999999985,
QLearningAgent,1,88,-0.1,-8.899999999999984,
QLearningAgent,1,89,-0.1,-8.999999999999984,
QLearningAgent,1,90,-0.1,-9.099999999999984,
QLearningAgent,1,91,-0.1,-9.199999999999983,
QLearningAgent,1,92,-0.1,-9.299999999999983,
QLearningAgent,1,93,-0.1,-9.399999999999983,
QLearningAgent,1,94,-0.1,-9.499999999999982,
QLearningAgent,1,95,-0.1,-9.599999999999982,
QLearningAgent,1,96,-0.1,-9.699999999999982,
QLearningAgent,1,97,-0.1,-9.799999999999981,
QLearningAgent,1,98,-0.1,-9.89999999999998,
QLearningAgent,1,99,-0.1,-9.99999999999998,
QLearningAgent,1,100,-0.1,-10.09999999999998,
QLearningAgent,1,101,-0.1,-10.19999999999998,
QLearningAgent,1,102,-0.1,-10.29999999999998,
QLearningAgent,1,103,-0.1,-10.399999999999979,
QLearningAgent,1,104,-0.1,-10.499999999999979,
QLearningAgent,1,105,-0.1,-10.599999999999978,
QLearningAgent,1,106,-0.1,-10.699999999999978,
QLearningAgent,1,107,-0.1,-10.799999999999978,
QLearningAgent,1,108,-0.1,-10.899999999999977,
QLearningAgent,1,109,-0.1,-10.999999999999977,
QLearningAgent,1,110,-0.1,-11.099999999999977,
QLearningAgent,1,111,-0.1,-11.199999999999976,
QLearningAgent,1,112,-0.1,-11.299999999999976,
QLearningAgent,1,113,-0.1,-11.399999999999975,
QLearningAgent,1,114,-0.1,-11.499999999999975,
QLearningAgent,1,115,-0.1,-11.599999999999975,
QLearningAgent,1,116,-0.1,-11.699999999999974,
QLearningAgent,1,117,-0.1,-11.799999999999974,
QLearningAgent,1,118,-0.1,-11.899999999999974,
QLearningAgent,1,119,-0.1,-11.999999999999973,
QLearningAgent,1,120,-0.1,-12.099999999999973,
QLearningAgent,1,121,-0.1,-12.199999999999973,
QLearningAgent,1,122,-0.1,-12.299999999999972,
QLearningAgent,1,123,-0.1,-12.399999999999972,
QLearningAgent,1,124,-0.1,-12.499999999999972,
QLearningAgent,1,125,-0.1,-12.599999999999971,
QLearningAgent,1,126,-0.1,-12.69999999999997,
QLearningAgent,1,127,-0.1,-12.79999999999997,
QLearningAgent,1,128,-0.1,-12.89999999999997,
QLearningAgent,1,129,-0.1,-12.99999999999997,
QLearningAgent,1,130,-0.1,-13.09999999999997,
QLearningAgent,1,131,-0.1,-13.199999999999969,
QLearningAgent,1,132,-0.1,-13.299999999999969,
QLearningAgent,1,133,-0.1,-13.399999999999968,
QLearningAgent,1,134,-0.1,-13.499999999999968,
QLearningAgent,1,135,-0.1,-13.599999999999968,
QLearningAgent,1,136,-0.1,-13.699999999999967,
QLearningAgent,1,137,-0.1,-13.799999999999967,
QLearningAgent,1,138,-0.1,-13.899999999999967,
QLearningAgent,1,139,-0.1,-13.999999999999966,
QLearningAgent,1,140,-0.1,-14.099999999999966,
QLearningAgent,1,141,-0.1,-14.199999999999966,
QLearningAgent,1,142,-0.1,-14.299999999999965,
QLearningAgent,1,143,-0.1,-14.399999999999965,
QLearningAgent,1,144,-0.1,-14.499999999999964,
QLearningAgent,1,145,-0.1,-14.599999999999964,
QLearningAgent,1,146,-0.1,-14.699999999999964,
QLearningAgent,1,147,-0.1,-14.799999999999963,
QLearningAgent,1,148,-0.1,-14.899999999999963,
QLearningAgent,1,149,-0.1,-14.999999999999963,
QLearningAgent,1,150,-0.1,-15.099999999999962,
QLearningAgent,1,151,-0.1,-15.199999999999962,
QLearningAgent,1,152,-0.1,-15.299999999999962,
QLearningAgent,1,153,-0.1,-15.399999999999961,
QLearningAgent,1,154,-0.1,-15.499999999999961,
QLearningAgent,1,155,-0.1,-15.59999999999996,
QLearningAgent,1,156,-0.1,-15.69999999999996,
QLearningAgent,1,157,-0.1,-15.79999999999996,
QLearningAgent,1,158,-0.1,-15.89999999999996,
QLearningAgent,1,159,-0.1,-15.99999999999996,
QLearningAgent,1,160,-0.1,-16.09999999999996,
QLearningAgent,1,161,-0.1,-16.19999999999996,
QLearningAgent,1,162,-0.1,-16.29999999999996,
QLearningAgent,1,163,-0.1,-16.399999999999963,
QLearningAgent,1,164,-0.1,-16.499999999999964,
QLearningAgent,1,165,-0.1,-16.599999999999966,
QLearningAgent,1,166,-0.1,-16.699999999999967,
QLearningAgent,1,167,-0.1,-16.79999999999997,
QLearningAgent,1,168,-0.1,-16.89999999999997,
QLearningAgent,1,169,-0.1,-16.99999999999997,
QLearningAgent,1,170,-0.1,-17.099999999999973,
QLearningAgent,1,171,-0.1,-17.199999999999974,
QLearningAgent,1,172,-0.1,-17.299999999999976,
QLearningAgent,1,173,-0.1,-17.399999999999977,
QLearningAgent,1,174,-0.1,-17.49999999999998,
QLearningAgent,1,175,-0.1,-17.59999999999998,
QLearningAgent,1,176,-0.1,-17.69999999999998,
QLearningAgent,1,177,-0.1,-17.799999999999983,
QLearningAgent,1,178,-0.1,-17.899999999999984,
QLearningAgent,1,179,-0.1,-17.999999999999986,
QLearningAgent,1,180,-0.1,-18.099999999999987,
QLearningAgent,1,181,-0.1,-18.19999999999999,
QLearningAgent,1,182,-0.1,-18.29999999999999,
QLearningAgent,1,183,-0.1,-18.39999999999999,
QLearningAgent,1,184,-0.1,-18.499999999999993,
QLearningAgent,1,185,-0.1,-18.599999999999994,
QLearningAgent,1,186,-0.1,-18.699999999999996,
QLearningAgent,1,187,-0.1,-18.799999999999997,
QLearningAgent,1,188,-0.1,-18.9,
QLearningAgent,1,189,-0.1,-19.0,
QLearningAgent,1,190,-0.1,-19.1,
QLearningAgent,1,191,-0.1,-19.200000000000003,
QLearningAgent,1,192,-0.1,-19.300000000000004,
QLearningAgent,1,193,-0.1,-19.400000000000006,
QLearningAgent,1,194,-0.1,-19.500000000000007,
QLearningAgent,1,195,-0.1,-19.60000000000001,
QLearningAgent,1,196,-0.1,-19.70000000000001,
QLearningAgent,1,197,-0.1,-19.80000000000001,
QLearningAgent,1,198,-0.1,-19.900000000000013,
QLearningAgent,1,199,-0.1,-20.000000000000014,
QLearningAgent,1,200,-0.1,-20.100000000000016,
QLearningAgent,1,201,-0.1,-20.200000000000017,
QLearningAgent,1,202,-0.1,-20.30000000000002,
QLearningAgent,1,203,-0.1,-20.40000000000002,
QLearningAgent,1,204,-0.1,-20.50000000000002,
QLearningAgent,1,205,-0.1,-20.600000000000023,
QLearningAgent,1,206,-0.1,-20.700000000000024,
QLearningAgent,1,207,-0.1,-20.800000000000026,
QLearningAgent,1,208,-0.1,-20.900000000000027,
QLearningAgent,1,209,-0.1,-21.00000000000003,
QLearningAgent,1,210,-0.1,-21.10000000000003,
QLearningAgent,1,211,-0.1,-21.20000000000003,
QLearningAgent,1,212,-0.1,-21.300000000000033,
QLearningAgent,1,213,-0.1,-21.400000000000034,
QLearningAgent,1,214,-0.1,-21.500000000000036,
QLearningAgent,1,215,-0.1,-21.600000000000037,
QLearningAgent,1,216,-0.1,-21.70000000000004,
QLearningAgent,1,217,-0.1,-21.80000000000004,
QLearningAgent,1,218,-0.1,-21.90000000000004,
QLearningAgent,1,219,-0.1,-22.000000000000043,
QLearningAgent,1,220,-0.1,-22.100000000000044,
QLearningAgent,1,221,-0.1,-22.200000000000045,
QLearningAgent,1,222,-0.1,-22.300000000000047,
