episode,threshold,asymetric_advantages,forced_coordination,cramped_room
1000,7,0.1,0.1,0
2000,7,0.2,0.3,0.1
3000,7,0.3,0.4,0.2
4000,7,0.4,0.2,0.3
5000,7,0.7,0.3,0.5
6000,7,1.2,0.5,0.8
7000,7,1.5,1,1.2
8000,7,1.6,1.1,1.7
9000,7,1.8,0.8,2.3
10000,7,2,1.3,3
11000,7,2.6,1.5,3.8
12000,7,3.8,1.8,4.1
13000,7,4.9,2.1,4.8
14000,7,6.7,2.3,5.1
15000,7,7.8,2.5,5.3
16000,7,8.5,3.3,6
17000,7,9,3.5,6.2
18000,7,9.2,3.8,6.4
19000,7,9.1,4.2,6.9
20000,7,9.3,4.5,7.3
21000,7,9.4,4.7,7.6
22000,7,9.5,4.8,7.9
23000,7,9.6,5,8.2
24000,7,9.7,5.5,8.3
25000,7,9.8,5.8,8.5
26000,7,10,5.9,8.8
27000,7,10.1,6.3,8.7
28000,7,10.3,6.7,8.6
29000,7,10.5,7.1,8.8
30000,7,10.4,7.5,9.2
31000,7,10.5,7.6,9.4
32000,7,10.8,7.8,9.6
33000,7,11,8,9.5
34000,7,10.7,8.1,9.3
35000,7,10.5,8.2,9.6
36000,7,10.4,8.2,9.5
37000,7,10.6,8.3,9.4
38000,7,10.2,8.4,9.5
39000,7,10.5,8.5,9.4
40000,7,10.3,8.3,9.6
41000,7,10.6,8.5,9.7
42000,7,10.7,8.4,9.6
43000,7,11,8.7,9.5
44000,7,11.2,8.5,9.3
45000,7,10.9,8.6,9.6
46000,7,10.8,8.4,9.8
47000,7,10.7,8.2,10
48000,7,10.6,8.1,9.9
49000,7,10.5,8.5,9.8
50000,7,10.8,8.6,9.7
51000,7,10.6,8.9,9.6
52000,7,10.9,8.7,9.7
53000,7,11,8.6,9.8
54000,7,10.9,8.4,9.9
55000,7,10.7,8.4,10
56000,7,11,8.5,10.2
57000,7,11.1,8.6,10.4
58000,7,10.9,8.5,10.5
59000,7,10.8,8.4,10.4
60000,7,10.9,8.6,10.3
