episode,asymmetric_advantages,forced_coordination,cramped_room
1000,8,5,10
2000,10,5,14
3000,9,7,7
4000,12,6,9
5000,9,5,7
6000,9,6,6
7000,13,5,8
8000,8,5,7
9000,11,7,10
10000,9,7,6
11000,15,9,11
12000,14,9,13
13000,12,6,9
14000,14,9,9
15000,15,10,11
16000,12,5,11
17000,15,7,12
18000,14,6,9
19000,13,7,12
20000,12,8,11
21000,13,13,8
22000,10,16,14
23000,9,9,14
24000,20,11,15
25000,16,12,15
26000,12,8,7
27000,18,8,11
28000,17,13,13
29000,20,9,18
30000,19,9,10
31000,15,9,13
32000,12,6,9
33000,13,12,10
34000,15,17,11
35000,17,15,12
36000,14,12,15
37000,14,14,14
38000,14,8,18
39000,20,11,19
40000,18,11,13
41000,16,14,16
42000,20,12,15
43000,19,10,14
44000,16,14,20
45000,20,13,14
46000,20,14,14
47000,14,14,15
48000,16,10,16
49000,16,12,17
50000,16,13,15
51000,18,15,16
52000,19,16,18
53000,20,13,19
54000,22,12,20
55000,21,15,21
56000,20,16,22
57000,23,17,24
58000,24,18,23
59000,25,20,22
60000,22,19,21
