Episode,Score
0,-145.6011046
1,-146.6927065
2,-145.2719444
3,-147.5333692
4,-150
5,-148.0689668
6,-148.6277296
7,-147.313366
8,-145.3749312
9,-146.937877
10,-145.2836595
11,-147.0913518
12,-148.5701397
13,-146.0131422
14,-144.0380153
15,-141.5604417
16,-139.3949912
17,-138.2849025
18,-134.8304945
19,-133.7630921
20,-130.6684844
21,-129.6658987
22,-129.6056233
23,-127.5495388
24,-127.7071539
25,-128.4064109
26,-128.6987851
27,-130.6850158
28,-134.3468406
29,-131.5999152
30,-135.5963852
31,-134.0757553
32,-133.8599603
33,-133.8051685
34,-134.0290253
35,-133.0008723
36,-132.4721844
37,-132.6026046
38,-130.7770609
39,-128.90893
40,-127.8607406
41,-127.72469
42,-124.355872
43,-120.8740292
44,-120.6995147
45,-119.4252405
46,-118.1353628
47,-119.6903896
48,-118.0877192
49,-118.1677379
50,-120.7987884
51,-120.5674097
52,-117.1993917
53,-116.3902143
54,-116.7863065
55,-119.0226923
56,-121.0255547
57,-117.1781592
58,-117.2913598
59,-114.0575119
60,-114.3286049
61,-114.409554
62,-113.9398518
63,-112.7330654
64,-115.7295831
65,-114.540695
66,-115.0163861
67,-113.3078717
68,-109.827124
69,-110.0400752
70,-107.7809385
71,-108.1548457
72,-106.507178
73,-103.8864937
74,-105.7153546
75,-103.3795877
76,-106.3306544
77,-107.3300732
78,-107.9971209
79,-103.865048
80,-103.8590922
81,-103.5245007
82,-101.9532596
83,-102.4587613
84,-102.6567888
85,-101.1271674
86,-100.2303758
87,-103.7132802
88,-104.7584005
89,-107.5392863
90,-108.7532905
91,-110.268781
92,-112.529423
93,-113.7312627
94,-113.6709884
95,-114.5833441
96,-116.2718689
97,-113.368478
98,-116.3197223
99,-115.1525659
100,-116.9612264
101,-120.3297467
102,-119.4561631
103,-124.086597
104,-119.7012882
105,-122.6187464
106,-118.7244415
107,-117.16124
108,-117.8164902
109,-120.0584022
110,-121.2511427
111,-121.7774536
112,-119.2708842
113,-116.5983383
114,-115.647141
115,-114.8646396
116,-115.7593811
117,-113.4656389
118,-110.329885
119,-109.4023078
120,-110.4486149
121,-113.1086718
122,-117.1700991
123,-117.1073552
124,-121.3181335
